"baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "genenames"
"gene-FE838_RS00195" 256.805765078301 0.523883198630869 0.222212044509519 0.0128190219167993 0.0631605345367436 "dnaA"
"gene-FE838_RS00200" 94.022287036963 -0.33523698954403 0.302938410183677 0.217546118344217 0.439779635529232 NA
"gene-FE838_RS00205" 612.174339509378 -0.0722100426279302 0.31835864209471 0.798973554534836 0.898933880996904 NA
"gene-FE838_RS00210" 132.434001350963 0.0557389901187436 0.338815457647428 0.852731618011895 0.930373049955557 NA
"gene-FE838_RS00215" 4.61122259090841 0.582271754562151 0.534301122941894 0.140115268961366 0.337828507911109 NA
"gene-FE838_RS00220" 31.7271186864003 0.334729262011916 0.284219794812523 0.20117398487925 0.421525128890904 NA
"gene-FE838_RS00225" 18.2202529652451 0.0901283915664416 0.333180947479191 0.763364825049352 0.878179859711246 "folB"
"gene-FE838_RS00230" 143.781648678174 -0.0216587850645024 0.265899817111506 0.92850027778469 0.968274817551607 NA
"gene-FE838_RS00235" 48.2123653810102 -0.231930567649322 0.393001554253857 0.482596409921682 0.683942580320932 NA
"gene-FE838_RS00240" 54.2308943989635 0.0423242919756016 0.393207443494346 0.900501690688643 0.95401770131918 NA
"gene-FE838_RS00245" 86.2912449976778 0.199234469577446 0.348805957483452 0.516104923776841 0.709233109214427 "mtaB"
"gene-FE838_RS00250" 135.016808869957 -0.305562747267992 0.325539003819202 0.294447390889265 0.520890724394042 NA
"gene-FE838_RS00255" 1132.47202207296 0.252721029419322 0.451464902951534 0.483783023350684 0.684981091223232 NA
"gene-FE838_RS00260" 604.903784850149 -2.75545630624174 0.481431803263709 8.09059898829723e-10 3.36093873568898e-08 NA
"gene-FE838_RS00265" 3894.1624925068 -3.06565839727481 0.513610822110952 1.67994158204029e-10 7.92372446195671e-09 NA
"gene-FE838_RS00270" 3939.98806906723 -3.45860041761474 0.576264205364777 1.22307618572632e-10 5.95493437523523e-09 NA
"gene-FE838_RS00275" 530.424991324297 -2.46325590971811 0.502762694606025 7.77651617909407e-08 2.24280670439095e-06 NA
"gene-FE838_RS00280" 184.051906988564 0.70509791591694 0.320265930568075 0.014260674631927 0.0683305129453604 NA
"gene-FE838_RS00285" 588.052331819062 0.351915659204463 0.473827670054278 0.341054113822248 0.562174382012064 "rplI"
"gene-FE838_RS00290" 291.152370753263 0.47144659744735 0.488887288737102 0.211717288276229 0.43310955930005 "rpsR"
"gene-FE838_RS00295" 472.177396921506 0.869015538603402 0.54623828239589 0.0371961547709494 0.136045386755136 "rpsF"
"gene-FE838_RS00300" 30.6145137875897 0.398034554952632 0.284873448521254 0.127770282355819 0.318055985985237 NA
"gene-FE838_RS00305" 249.190234616001 -0.467022305134118 0.40943336150369 0.17122072274246 0.383995756601217 NA
"gene-FE838_RS00310" 1353.28384395361 -0.10203191458269 0.336210168643547 0.730858061403626 0.859118718077783 NA
"gene-FE838_RS00315" 574.247912184014 0.110860598775367 0.320540325419123 0.703696005777073 0.844733699405775 NA
"gene-FE838_RS00320" 2136.95138290808 -0.257651075866858 0.413038891515835 0.449268064077383 0.657919079606207 NA
"gene-FE838_RS00325" 23.3967877949846 0.932418789112406 0.378351795990229 0.0050269879095932 0.0311384422088071 "hemW"
"gene-FE838_RS00330" 10.88867536051 0.246880137435651 0.380440473946374 0.447841604700086 0.657222403102373 NA
"gene-FE838_RS00335" 244.120557310589 0.93512467591545 0.865079151709106 0.0547199909127408 0.177741835619003 NA
"gene-FE838_RS00340" 648.049272771445 1.03601862905725 0.808944564792518 0.037830626495746 0.13736734304149 NA
"gene-FE838_RS00345" 507.933143108635 0.462972460593237 0.629615437543758 0.24906794861697 0.477064158772267 NA
"gene-FE838_RS00350" 79.5858746785182 0.994128370109004 0.72740301098608 0.0384251355072786 0.139079946904043 NA
"gene-FE838_RS00355" 42.9577258723039 -0.0444800578103261 0.28358200490388 0.864316858919777 0.936050403537132 NA
"gene-FE838_RS00360" 3.88651783967211 1.01609502818441 0.659604790318407 0.0290015632183205 0.115388316865705 NA
"gene-FE838_RS00365" 5.28462603843514 0.874268615178835 0.594067130404274 0.0429220555049637 0.150078044267549 NA
"gene-FE838_RS00370" 284.445395974959 -2.81966498352761 1.02888202776397 0.000285611296780769 0.00300057529425365 NA
"gene-FE838_RS00375" 86.1960310112948 0.0649639771451326 0.223897758025705 0.761796843905721 0.877438225716145 NA
"gene-FE838_RS00380" 26.9696875510305 0.0995268211335322 0.315498025623544 0.726012656965385 0.85631292282867 NA
"gene-FE838_RS00385" 27.0401379991787 -0.164502901684165 0.316970110698474 0.567311079940312 0.746260142976831 NA
"gene-FE838_RS00390" 12.9484627993252 -0.339593936951644 0.339591833310806 0.261947274830946 0.490934296537468 NA
"gene-FE838_RS00395" 56.9688061910343 -0.427910747185374 0.266216485651599 0.0809656461540412 0.232622110269986 NA
"gene-FE838_RS00400" 0.337418586142323 0.0424149772355065 0.683052222921928 0.700375107633548 NA NA
"gene-FE838_RS00405" 1.06129469487144 -0.269976098256392 0.660082877154329 0.498316518217383 0.695768484270216 NA
"gene-FE838_RS00410" 75.4717745055387 0.129944301252144 0.200768254911087 0.501949367491305 0.698492244836764 "aroA"
"gene-FE838_RS00415" 11.6838521769151 0.385373082476313 0.469910245773766 0.289151638285259 0.515667041416168 NA
"gene-FE838_RS00420" 7.8973174158565 -0.122882004584794 0.407780687443251 0.716753973851534 0.852097650583985 NA
"gene-FE838_RS00425" 34.2250598769333 -0.0192160287113703 0.242946761408272 0.932388797589617 0.970030216392605 NA
"gene-FE838_RS00430" 21.2253037668465 -0.184465400997135 0.380795022247046 0.568327428472688 0.746973709628043 NA
"gene-FE838_RS00435" 5.27468164655333 -1.14379100096635 0.698719024411677 0.0201853495009679 0.0877994837083407 NA
"gene-FE838_RS00440" 9.39190461589419 -0.114962261585834 0.439185316203112 0.741988615094472 0.86546224862127 NA
"gene-FE838_RS00445" 3.72278288687865 -0.407645906719457 0.566776949222337 0.30185895434302 0.528954080984982 NA
"gene-FE838_RS00450" 8.38668316925173 -0.424633738461857 0.489100025356656 0.257607733167708 0.485981043113864 NA
"gene-FE838_RS00455" 18.5956378091619 -0.44198855315917 0.370117130651257 0.161742168897852 0.36932352030735 NA
"gene-FE838_RS00460" 22.0602975875033 0.322233827854872 0.361745891901828 0.304552712734537 0.530627240651165 NA
"gene-FE838_RS00465" 21.3515588176251 -0.188768708724699 0.31845168249803 0.514409162856116 0.707977109243919 NA
"gene-FE838_RS00470" 25.5908846356587 -0.555052786404695 0.35958458528056 0.0778050313565449 0.225834091014382 NA
"gene-FE838_RS00475" 14.7723182500933 -0.0821177551964444 0.472387271775352 0.814774363063616 0.907503462945852 NA
"gene-FE838_RS00480" 12.5804884355667 -0.228390628720755 0.417828083881135 0.502678070766109 0.698594169423467 NA
"gene-FE838_RS00485" 22.5980236155683 -0.131086182865575 0.403895541830971 0.693551260344358 0.838498550200514 NA
"gene-FE838_RS00490" 4.99936881272826 -0.0207200260494251 0.4552198371743 0.952644048410796 0.979184472160756 NA
"gene-FE838_RS00495" 95.575965423797 0.153491353993782 0.203117040644888 0.431522815003105 0.642319298597653 NA
"gene-FE838_RS00500" 32.7113204574179 0.53579859873019 0.342838124985855 0.0783703346667218 0.227038307978833 NA
"gene-FE838_RS00505" 30.7656100312712 0.703959002136624 0.344767986973496 0.0215860933240172 0.0931761969219734 NA
"gene-FE838_RS00510" 31.7289268065013 0.362312023283789 0.297328892967104 0.179598710489883 0.392671637420663 "tsaE"
"gene-FE838_RS00515" 9.98401263987147 0.415762198318977 0.433548634333296 0.239516947654212 0.467269598870431 NA
"gene-FE838_RS00520" 44.2818188220677 0.103589964872994 0.353951450747652 0.741106293673332 0.864812688379711 NA
"gene-FE838_RS00525" 32.0274038493898 0.306249653767752 0.30417170258914 0.269168450505442 0.497670373168085 NA
"gene-FE838_RS00530" 104.757629002237 0.374180982812289 0.230958093306446 0.0879283311947609 0.246068902132186 NA
"gene-FE838_RS00535" 145.467621587156 0.0462080276008487 0.212612826447246 0.821819223864177 0.912505504084599 NA
"gene-FE838_RS00540" 130.818231216114 0.159924828987168 0.276759944585055 0.536635118654185 0.726422665849372 NA
"gene-FE838_RS00545" 91.9278740664841 0.151581266266181 0.270111742071625 0.548340291838957 0.734062203399464 NA
"gene-FE838_RS00550" 177.045081145175 0.248675038388785 0.224396656252374 0.245653787167491 0.473327807784852 NA
"gene-FE838_RS00555" 86.8009262270718 0.0312158493390251 0.290493216254022 0.908323793872189 0.958124868517859 NA
"gene-FE838_RS00560" 6.33924455690532 0.600953517604018 0.568156911308074 0.136188564400693 0.331716955140581 NA
"gene-FE838_RS00565" 1.12877985441374 0.01204078283942 0.635379767209976 0.934656189941274 0.970928591713464 NA
"gene-FE838_RS00570" 8.99226042839059 0.139723621417871 0.410313327882584 0.676525430136865 0.827920850718845 NA
"gene-FE838_RS00575" 2.67967730265663 0.0651927118824455 0.541031485928465 0.857600826516991 0.932008342828771 NA
"gene-FE838_RS00580" 0.106447174120543 -0.0868528853628466 0.729141988407211 0.979034415897949 NA NA
"gene-FE838_RS00585" 60.6887793571808 0.469665719214379 0.435390072832628 0.18782297594203 0.403828316745257 NA
"gene-FE838_RS00590" 8.95167786969856 1.40528120748268 0.496924245375129 0.000964400316142707 0.00823925402168712 NA
"gene-FE838_RS00595" 23.4589940564614 0.244499277317637 0.312088270119204 0.382950373488614 0.601345016108401 NA
"gene-FE838_RS00600" 5.29316954291989 0.404769657190318 0.454863783256647 0.26392304469679 0.492598329096069 NA
"gene-FE838_RS00605" 13.3783043824739 0.439681066937609 0.40108169614426 0.19713229641047 0.416656314189822 NA
"gene-FE838_RS00610" 1.66103011783912 -0.102806161586507 0.598292719624786 0.79160698937449 0.896563167248377 NA
"gene-FE838_RS00615" 562.464750824915 0.216528384619349 0.27264586295588 0.393048893168669 0.608156130182279 NA
"gene-FE838_RS00620" 177.608593534712 0.373066440629265 0.231467333924526 0.088430224049333 0.247015456197026 "trxA"
