"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "genenames"
"gene-FE838_RS00195" 256.805765078301 0.563784502254797 0.226532479711896 2.48875791662113 0.0128190219167993 0.0631605345367436 "dnaA"
"gene-FE838_RS00200" 94.022287036963 -0.395596445808137 0.320819912505953 -1.23307946417072 0.217546118344217 0.439779635529232 NA
"gene-FE838_RS00205" 612.174339509378 -0.0898158782135421 0.352667583921847 -0.254675740862664 0.798973554534836 0.898933880996904 NA
"gene-FE838_RS00210" 132.434001350963 0.0707715076356965 0.381241715434708 0.185634217795395 0.852731618011895 0.930373049955557 NA
"gene-FE838_RS00215" 4.61122259090841 0.879745605541994 0.596291389289721 1.47536191423108 0.140115268961366 0.337828507911109 NA
"gene-FE838_RS00220" 31.7271186864003 0.385905701748591 0.301910090932175 1.27821398932733 0.20117398487925 0.421525128890904 NA
"gene-FE838_RS00225" 18.2202529652451 0.11298032343034 0.375268702878184 0.301065136964044 0.763364825049352 0.878179859711246 "folB"
"gene-FE838_RS00230" 143.781648678174 -0.0255948015507768 0.285236419881791 -0.0897318847340178 0.92850027778469 0.968274817551607 NA
"gene-FE838_RS00235" 48.2123653810102 -0.317807124276378 0.452631138442141 -0.70213270207216 0.482596409921682 0.683942580320932 NA
"gene-FE838_RS00240" 54.2308943989635 0.0582541866755983 0.465930571448061 0.125027611934866 0.900501690688643 0.95401770131918 NA
"gene-FE838_RS00245" 86.2912449976778 0.25332849519474 0.390119531878241 0.649361220072943 0.516104923776841 0.709233109214427 "mtaB"
"gene-FE838_RS00250" 135.016808869957 -0.372439815818314 0.355240790761775 -1.0484151187133 0.294447390889265 0.520890724394042 NA
"gene-FE838_RS00255" 1132.47202207296 0.383296667798602 0.547385991529383 0.700231050355674 0.483783023350684 0.684981091223232 NA
"gene-FE838_RS00260" 604.903784850149 -2.90235029299934 0.472453885780439 -6.14313984994534 8.09059898829723e-10 3.36093873568898e-08 NA
"gene-FE838_RS00265" 3894.1624925068 -3.22096287468752 0.504215461427283 -6.38806843719139 1.67994158204029e-10 7.92372446195671e-09 NA
"gene-FE838_RS00270" 3939.98806906723 -3.62934611429976 0.563874710509655 -6.43644066076201 1.22307618572632e-10 5.95493437523523e-09 NA
"gene-FE838_RS00275" 530.424991324297 -2.63196727183827 0.489920035481258 -5.37223849041576 7.77651617909407e-08 2.24280670439095e-06 NA
"gene-FE838_RS00280" 184.051906988564 0.801246181861558 0.326955281202366 2.45062926928418 0.014260674631927 0.0683305129453604 NA
"gene-FE838_RS00285" 588.052331819062 0.537584264212399 0.564639217504657 0.952084530345195 0.341054113822248 0.562174382012064 "rplI"
"gene-FE838_RS00290" 291.152370753263 0.698808141472347 0.55955805902639 1.2488572547561 0.211717288276229 0.43310955930005 "rpsR"
"gene-FE838_RS00295" 472.177396921506 1.16517561116729 0.559211498781726 2.08360452835052 0.0371961547709494 0.136045386755136 "rpsF"
"gene-FE838_RS00300" 30.6145137875897 0.456077140204866 0.299468809715028 1.52295372809898 0.127770282355819 0.318055985985237 NA
"gene-FE838_RS00305" 249.190234616001 -0.616184074624457 0.450330862217857 -1.36829190784256 0.17122072274246 0.383995756601217 NA
"gene-FE838_RS00310" 1353.28384395361 -0.129893473266972 0.3776144937075 -0.34398434231602 0.730858061403626 0.859118718077783 NA
"gene-FE838_RS00315" 574.247912184014 0.135227017052184 0.355546181041062 0.3803360133309 0.703696005777073 0.844733699405775 NA
"gene-FE838_RS00320" 2136.95138290808 -0.364617380418839 0.481892823311807 -0.756635838469241 0.449268064077383 0.657919079606207 NA
"gene-FE838_RS00325" 23.3967877949846 1.07180091683992 0.382062948683168 2.80529928519379 0.0050269879095932 0.0311384422088071 "hemW"
"gene-FE838_RS00330" 10.88867536051 0.328461717725111 0.432745447665004 0.759018308563188 0.447841604700086 0.657222403102373 NA
"gene-FE838_RS00335" 244.120557310589 1.67736897320084 0.873132649695314 1.92109294479615 0.0547199909127408 0.177741835619003 NA
"gene-FE838_RS00340" 648.049272771445 1.64446715539167 0.791871190398323 2.07668516714755 0.037830626495746 0.13736734304149 NA
"gene-FE838_RS00345" 507.933143108635 0.935277517876136 0.811438806217628 1.15261620557163 0.24906794861697 0.477064158772267 NA
"gene-FE838_RS00350" 79.5858746785182 1.50347351122595 0.726213741016087 2.07029064077245 0.0384251355072786 0.139079946904043 NA
"gene-FE838_RS00355" 42.9577258723039 -0.0529130596573691 0.309647482773912 -0.170881607637687 0.864316858919777 0.936050403537132 NA
"gene-FE838_RS00360" 3.88651783967211 1.43854857608199 0.658837394886808 2.18346527875689 0.0290015632183205 0.115388316865705 NA
"gene-FE838_RS00365" 5.28462603843514 1.23238571351346 0.60874556484847 2.02446766707898 0.0429220555049637 0.150078044267549 NA
"gene-FE838_RS00370" 284.445395974959 -3.37964715731869 0.931542281068682 -3.6280126259449 0.000285611296780769 0.00300057529425365 NA
"gene-FE838_RS00375" 86.1960310112948 0.0713278921973351 0.235310793435167 0.303122058941964 0.761796843905721 0.877438225716145 NA
"gene-FE838_RS00380" 26.9696875510305 0.12148418992335 0.346667347000129 0.350434475512646 0.726012656965385 0.85631292282867 NA
"gene-FE838_RS00385" 27.0401379991787 -0.201447640637 0.352171288840893 -0.572016081435905 0.567311079940312 0.746260142976831 NA
"gene-FE838_RS00390" 12.9484627993252 -0.418862044258231 0.373383721385026 -1.12180049709856 0.261947274830946 0.490934296537468 NA
"gene-FE838_RS00395" 56.9688061910343 -0.481085120958905 0.275676031246325 -1.74511044280466 0.0809656461540412 0.232622110269986 NA
"gene-FE838_RS00400" 0.337418586142323 0.677369614506036 1.76025127343731 0.38481415961899 0.700375107633548 NA NA
"gene-FE838_RS00405" 1.06129469487144 -0.753640045064994 1.11297363675899 -0.677140967381417 0.498316518217383 0.695768484270216 NA
"gene-FE838_RS00410" 75.4717745055387 0.140113558653089 0.208680655834681 0.671425715491753 0.501949367491305 0.698492244836764 "aroA"
"gene-FE838_RS00415" 11.6838521769151 0.577344701155724 0.54467276266772 1.05998452782544 0.289151638285259 0.515667041416168 NA
"gene-FE838_RS00420" 7.8973174158565 -0.177415709517341 0.489017368637158 -0.362800425702221 0.716753973851534 0.852097650583985 NA
"gene-FE838_RS00425" 34.2250598769333 -0.0218769134662889 0.257861620724233 -0.0848397423581111 0.932388797589617 0.970030216392605 NA
"gene-FE838_RS00430" 21.2253037668465 -0.249871665582826 0.437974470235104 -0.570516508527759 0.568327428472688 0.746973709628043 NA
"gene-FE838_RS00435" 5.27468164655333 -1.6065739663883 0.691628816138263 -2.32288465850609 0.0201853495009679 0.0877994837083407 NA
"gene-FE838_RS00440" 9.39190461589419 -0.179092913538391 0.543989865675727 -0.329221047741262 0.741988615094472 0.86546224862127 NA
"gene-FE838_RS00445" 3.72278288687865 -0.755426353751179 0.731679593103592 -1.03245513592481 0.30185895434302 0.528954080984982 NA
"gene-FE838_RS00450" 8.38668316925173 -0.650298320152949 0.574436250707648 -1.13206351331736 0.257607733167708 0.485981043113864 NA
"gene-FE838_RS00455" 18.5956378091619 -0.555686988931714 0.397135948039214 -1.39923618517869 0.161742168897852 0.36932352030735 NA
"gene-FE838_RS00460" 22.0602975875033 0.409838920733009 0.399173334500363 1.02671918515298 0.304552712734537 0.530627240651165 NA
"gene-FE838_RS00465" 21.3515588176251 -0.231213032883504 0.354627953061238 -0.651987613744531 0.514409162856116 0.707977109243919 NA
"gene-FE838_RS00470" 25.5908846356587 -0.672359227523583 0.381249766645673 -1.76356626638532 0.0778050313565449 0.225834091014382 NA
"gene-FE838_RS00475" 14.7723182500933 -0.14145780820644 0.603820470015408 -0.234271302863963 0.814774363063616 0.907503462945852 NA
"gene-FE838_RS00480" 12.5804884355667 -0.328731761221959 0.490438032553423 -0.67028195083168 0.502678070766109 0.698594169423467 NA
"gene-FE838_RS00485" 22.5980236155683 -0.187544160332128 0.475951682408969 -0.394040334898905 0.693551260344358 0.838498550200514 NA
"gene-FE838_RS00490" 4.99936881272826 -0.0345549977246946 0.581863539962066 -0.0593867725875166 0.952644048410796 0.979184472160756 NA
"gene-FE838_RS00495" 95.575965423797 0.165716124753322 0.210677034456892 0.786588463144664 0.431522815003105 0.642319298597653 NA
"gene-FE838_RS00500" 32.7113204574179 0.638606112206935 0.362798816165513 1.76022104745677 0.0783703346667218 0.227038307978833 NA
"gene-FE838_RS00505" 30.7656100312712 0.816871889574429 0.355536831255584 2.29757318444233 0.0215860933240172 0.0931761969219734 NA
