"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames"
"gene-FE838_RS16135",2515.20696752982,-9.13913201991624,1.29107745908138,-7.07868606614731,1.45527635788886e-12,1.09824855808679e-10,NA
"gene-FE838_RS16130",4091.03012001729,-8.55541515799652,0.891322304957198,-9.59856508741511,8.10650749063141e-22,2.44708439450527e-19,NA
"gene-FE838_RS16180",3392.86453454575,-8.31814395789044,0.641480245848871,-12.9671085145935,1.87988996774336e-38,4.25607088697098e-35,"gltB"
"gene-FE838_RS13635",15.1223482911341,8.15524811554863,1.01810885817254,8.0101926725075,1.14528872674955e-15,1.39581198634475e-13,NA
"gene-FE838_RS16170",1188.49551582971,-8.02539408501464,0.749875179613547,-10.7023066014141,9.92757043040203e-27,4.49520389088604e-24,"asnB"
"gene-FE838_RS16155",491.55327931661,-7.98273820601045,0.871309454964405,-9.1617715847426,5.10522074623582e-20,1.15582197694779e-17,"dapF"
"gene-FE838_RS16175",854.43311249282,-7.97579429743727,0.684137832536358,-11.6581687463007,2.08477966098643e-31,1.57331371749109e-28,NA
"gene-FE838_RS16145",1443.47528150319,-7.93844659170988,0.817409781862356,-9.71170980315799,2.68789815155404e-22,8.69343059302621e-20,NA
"gene-FE838_RS13730",19.4825427902665,7.93586585504347,0.996227770820682,7.9659151124707,1.6400550157023e-15,1.8620169938503e-13,NA
"gene-FE838_RS16140",753.542765757305,-7.64080198994099,0.853898917328866,-8.94813406467672,3.61541775465392e-19,7.79552933003474e-17,NA
"gene-FE838_RS24600",63.6579974131025,7.49420223503113,1.50934720818815,4.9651943531451,6.86323035173504e-07,1.58554627717634e-05,NA
"gene-FE838_RS16150",1132.06999898905,-7.46195146678998,0.651387151728161,-11.4554784309041,2.20741022368762e-30,1.412963610426e-27,NA
"gene-FE838_RS15915",268.540960757747,7.39681917537431,1.06907678898787,6.91888482807406,4.55212747489389e-12,3.12303533429084e-10,NA
"gene-FE838_RS23890",240.214299705574,7.30037180026957,0.902178246861597,8.09193950936563,5.87220729128045e-16,7.59695846140511e-14,NA
"gene-FE838_RS01410",612.207647884512,-7.2516677237329,1.40101411576734,-5.17601331929558,2.26677281814111e-07,5.9674112328738e-06,NA
"gene-FE838_RS15890",21.6122049927019,7.0098889531094,1.17809503128386,5.95018972745363,2.67831839840254e-09,1.02774794135311e-07,NA
"gene-FE838_RS23885",314.299626089013,7.00797193769547,0.875184735635298,8.00742020781289,1.17139698500664e-15,1.39581198634475e-13,NA
"gene-FE838_RS13630",110.661405776747,6.9941742269875,0.536863776371989,13.027837851629,8.4981777149927e-39,3.84797486934869e-35,NA
"gene-FE838_RS23050",309.904854031238,6.98239286281243,0.610092313662669,11.4448136887578,2.49640213856183e-30,1.412963610426e-27,NA
"gene-FE838_RS15910",58.2913323213179,6.83534719522651,1.0222489573544,6.68657781067002,2.28449705197745e-11,1.30939274067771e-09,NA
