"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames","diffexpressed","delabel"
"STM0001",46.7720179454219,-0.19469717896419,0.530306086106011,-0.367141136157485,0.713513744335832,0.998802608278029,"thrL","NO",NA
"STM0002",123.172436101339,-0.0638567929358704,0.282923366669113,-0.225703495924226,0.821432038890778,0.998802608278029,"thrA","NO",NA
"STM0003",65.8001420924045,-0.152896735942191,0.243661134140293,-0.627497431962856,0.530333218996953,0.998802608278029,"thrB","NO",NA
"STM0004",131.259264110616,-0.0250875908547107,0.201619522479868,-0.124430365403805,0.900974532053042,0.998802608278029,"thrC","NO",NA
"STM0005",62.5027674299472,0.133228847997176,0.263704836731536,0.505219584321879,0.613404616462971,0.998802608278029,"yaaA","NO",NA
"STM0006",52.8069381209459,-0.17880665885813,0.226178599519888,-0.790555159673304,0.429203621984855,0.998802608278029,"yaaJ","NO",NA
"STM0007",790.227976584972,0.154597798203475,0.230767317725193,0.669929345833866,0.502902831470133,0.998802608278029,"talB","NO",NA
"STM0008",69.896613374969,-0.0185435102379551,0.279553362714554,-0.0663326316589134,0.947113004118662,0.998802608278029,"mog","NO",NA
"STM0009",24.2277900466047,0.333242076434607,0.29475289962451,1.13058116428754,0.258231419049255,0.998802608278029,"yaaH","NO",NA
"STM0010",17.20628409138,-0.0842815083750662,0.384506337522,-0.219194068212839,0.826498876017606,0.998802608278029,"htgA","NO",NA
"STM0011",4.87612380871912,-0.445863853814647,0.593908416198451,-0.750728296912473,0.452816189642724,0.998802608278029,"yaaI","NO",NA
"STM0012",2354.89864792178,-0.476743459147864,0.287745215110559,-1.65682497609799,0.0975548658863471,0.998802608278029,"dnaK","NO",NA
"STM0013",327.572710725779,-0.438591245768731,0.213296899692833,-2.0562476360432,0.0397586527954427,0.79951450910822,"dnaJ","NO",NA
"STM0014",3.48448913731605,-1.2450953339707,0.782067528377335,-1.59205604221169,0.111372112860102,0.998802608278029,NA,"NO",NA
"STM0015",1.0859172850626,-1.25092507060984,1.08313304220169,-1.1549135903629,0.248125813492986,0.998802608278029,NA,"NO",NA
"STM0016",0.716317942504639,-0.418388917353693,1.2366912065332,-0.338313165924869,0.735127203101959,0.998802608278029,NA,"NO",NA
"STM0017",0.406682972057424,-0.871608411343148,1.49107808498045,-0.584549139393043,0.558850914810023,0.998802608278029,NA,"NO",NA
"STM0018",48.6539255016835,-0.48470720192261,0.348706677462245,-1.39001410999676,0.164524592733151,0.998802608278029,NA,"NO",NA
"STM0019",18.8191055273903,0.216571341860378,0.315364710000069,0.686732963432499,0.492251020577236,0.998802608278029,NA,"NO",NA
"STM0020",1.96628834651267,-0.42339159960554,1.1170660734219,-0.37902108897513,0.70467220345369,0.998802608278029,NA,"NO",NA
"STM0021",5.23125228529505,-0.443170982582781,0.552513319014176,-0.802100089412343,0.42249506328112,0.998802608278029,"bcfA","NO",NA
"STM0022",3.69427877267178,-0.0585788855895764,0.631308106104901,-0.0927896933733379,0.926070639180642,0.998802608278029,"bcfB","NO",NA
"STM0023",9.54372856832503,-0.0866012847972957,0.471057282022579,-0.183844487926088,0.854135454590272,0.998802608278029,"bcfC","NO",NA
"STM0024",8.28252956770693,0.265992178349392,0.490261481777907,0.542551655057186,0.587438532936876,0.998802608278029,"bcfD","NO",NA
"STM0025",3.49382180904083,0.73125860634648,0.753990395045137,0.969851355072904,0.332120590321071,0.998802608278029,"bcfE","NO",NA
"STM0026",10.8626906677621,-0.342114563143103,0.483546262351332,-0.707511544975053,0.479248640750235,0.998802608278029,"bcfF","NO",NA
"STM0027",4.51643258159881,-0.375894123860133,0.562570445421164,-0.66817254073616,0.504023461291763,0.998802608278029,"bcfG","NO",NA
"STM0028",6.59682661744037,0.577175001748207,0.470369070908017,1.2270683542904,0.219796900796888,0.998802608278029,"bcfH","NO",NA
"STM0029",1.50120779186495,-0.635742162666656,1.48960660910495,-0.426785272555047,0.669535734369301,0.998802608278029,NA,"NO",NA
"STM0030",0.467357944621938,-0.164161531809949,1.37973009214682,-0.118980902673884,0.905290485752966,0.998802608278029,NA,"NO",NA
"STM0031",0,NA,NA,NA,NA,NA,NA,"NO",NA
"STM0032",10.7653340361001,-1.06734660863324,0.430476330315127,-2.47945481195655,0.0131583401939735,0.452646902672688,NA,"DOWN",NA
"STM0033",18.5075805973672,-0.307468771209349,0.467907176248011,-0.657114886920172,0.511107047352509,0.998802608278029,NA,"NO",NA
"STM0034",1.27517404209535,0.179015422786729,1.00707105167726,0.177758483364785,0.858912653472533,0.998802608278029,NA,"NO",NA
"STM0035",28.2035717167863,-0.299625991613703,0.339902748360209,-0.881505057135277,0.378044518048772,0.998802608278029,NA,"NO",NA
"STM0036",20.4496143385144,-0.338229684581742,0.302858402943747,-1.11679148174259,0.264083491848129,0.998802608278029,NA,"NO",NA
"STM0037",4.51493872241069,0.334536933733368,0.550512467253088,0.607682756764109,0.543397901539156,0.998802608278029,NA,"NO",NA
"STM0038",34.8225131982352,-0.388776960163867,0.393676736500077,-0.987553807776982,0.323371218320808,0.998802608278029,NA,"NO",NA
"STM0039",262.92513829348,-0.568349918649161,0.275899926175276,-2.05998575834375,0.0393999023289546,0.79951450910822,"nhaA","NO",NA
"STM0040",119.586253878011,-0.338201685078786,0.235944589411923,-1.43339453522427,0.151745119238347,0.998802608278029,"nhaR","NO",NA
"STM0041",14.7446649921363,-0.150888257317512,0.411008565406924,-0.367117062799223,0.713531700303534,0.998802608278029,NA,"NO",NA
"STM0042",5.37526380031563,-0.136970644090795,0.542484865392418,-0.252487493806329,0.800664279541145,0.998802608278029,NA,"NO",NA
"STM0043",344.304875341127,-0.255613049677095,0.357761575780249,-0.714478767373559,0.47493118091418,0.998802608278029,"rpsT","NO",NA
"STM0044",15.8052370437002,-0.367829450692481,0.445534574713476,-0.825591259508947,0.409035994972595,0.998802608278029,"yaaY","NO",NA
"STM0045",74.3644397716075,-0.155767613049487,0.282374805030937,-0.551634247369983,0.581198967495416,0.998802608278029,"ribF","NO",NA
"STM0046",378.930661874574,-0.116960675272735,0.275508157000075,-0.42452708677044,0.67118145542921,0.998802608278029,"ileS","NO",NA
"STM0047",152.355790770789,0.173895405998398,0.185160284578431,0.939161475120431,0.347647845305152,0.998802608278029,"lspA","NO",NA
"STM0048",97.7826324697331,-0.0428715070677078,0.210579628525066,-0.203588102837805,0.838675390993642,0.998802608278029,"slpA","NO",NA
"STM0049",79.2659157731978,0.0489394106094293,0.238405352202124,0.20527815402373,0.837354811174176,0.998802608278029,"lytB","NO",NA
"STM0050",49.7205153480104,-0.15144793325858,0.241257092667985,-0.627744998432028,0.530171002221766,0.998802608278029,NA,"NO",NA
"STM0051",71.3078023472578,-0.0685806513198861,0.200119289314498,-0.342698855041944,0.731825024166662,0.998802608278029,"rihC","NO",NA
"STM0052",18.383759938889,0.0691847631738279,0.293853462947464,0.235439672821542,0.813867496880549,0.998802608278029,NA,"NO",NA
"STM0053",56.3027091039898,-0.212748336853209,0.288249466623175,-0.73807018394706,0.460471801131006,0.998802608278029,NA,"NO",NA
"STM0054",2.26815607500455,-1.5077324094754,0.875318104985037,-1.72249654255828,0.0849796085716751,0.998802608278029,NA,"NO",NA
"STM0055",0.939491143202049,-0.188538270270245,1.10965738265353,-0.169906741682188,0.865083479118871,0.998802608278029,NA,"NO",NA
"STM0056",0.187547415509504,0.567176137557136,2.21630442845619,0.255910754080031,0.798019750517131,0.998802608278029,NA,"NO",NA
"STM0057",3.57184509815411,-0.381571581457926,0.596749372225872,-0.63941681251321,0.522551814618655,0.998802608278029,NA,"NO",NA
"STM0058",3.87599788287148,0.171491938136954,0.641170275251305,0.267467075060113,0.78910956129619,0.998802608278029,"citC2","NO",NA
"STM0059",0.638588338935165,0.304169246651753,1.51002096834374,0.201433790012453,0.840359396049918,0.998802608278029,"citD2","NO",NA
"STM0060",2.05329928481798,-0.0569778215173738,0.855932779712801,-0.066568103089231,0.946925539446881,0.998802608278029,"citE2","NO",NA
"STM0061",8.24033809988404,-0.275236676160442,0.450092893948868,-0.61151082334508,0.54086145523881,0.998802608278029,"citF2","NO",NA
"STM0062",1.87835607953472,-0.0873262373154453,1.03689178634131,-0.0842192391392907,0.932882121908859,0.998802608278029,"citX2","NO",NA
"STM0063",5.6990464737197,-0.160223736026237,0.518755030873307,-0.308862037938226,0.75742647515716,0.998802608278029,"citG2","NO",NA
"STM0064",55.7587324949315,-0.0149266119400082,0.206358504519338,-0.0723333984939274,0.942336586145439,0.998802608278029,"dapB","NO",NA
"STM0065",1.24276192767282,-1.31761942976643,1.22770585211749,-1.07323706854852,0.283164762861014,0.998802608278029,NA,"NO",NA
"STM0066",40.1971996290769,0.429216072589729,0.435469180226877,0.985640527685818,0.324309543001848,0.998802608278029,"carA","NO",NA
"STM0067",90.8513235133115,0.255102191825345,0.465976594577841,0.54745709289639,0.584064740676206,0.998802608278029,"carB","NO",NA
"STM0068",384.393997909116,0.754666737878553,0.419349980541424,1.79961076164639,0.0719221206192273,0.980596717710928,"caiF","NO",NA
"STM0069",132.437206730422,0.769986894122544,0.325593013516886,2.36487535713849,0.0180361399445005,0.54869127776739,"caiE","UP","caiE"
"STM0070",96.2025445148238,0.798709002967823,0.453942106445673,1.75949530045063,0.0784934177713812,0.998802608278029,"caiD","NO",NA
"STM0071",86.3956915880605,0.977501473905344,0.389494824112951,2.50966486173864,0.0120845791375173,0.446630065313862,"caiC","UP","caiC"
"STM0072",116.067096692265,0.731023636124301,0.375709590474493,1.94571460153858,0.0516890316994865,0.875580870303423,"caiB","NO",NA
"STM0073",207.951708217339,0.880224119241794,0.434737951117797,2.02472343851869,0.0428957704819022,0.833426167919389,"caiA","UP","caiA"
