# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/stm/stm_genome_temp.gtf" "-o" "feature_counts/stm_1110.txt" "sam/sam_11_09/278-1_stm.sorted.bam" "sam/sam_11_09/278-2_stm.sorted.bam" "sam/sam_11_09/278-3_stm.sorted.bam" "sam/sam_11_09/278-4_stm.sorted.bam" "sam/sam_11_09/278-5_stm.sorted.bam" "sam/sam_11_09/279-1_stm.sorted.bam" "sam/sam_11_09/279-2_stm.sorted.bam" "sam/sam_11_09/279-3_stm.sorted.bam" "sam/sam_11_09/279-4_stm.sorted.bam" "sam/sam_11_09/279-5_stm.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	278-1_stm.sorted.bam	278-2_stm.sorted.bam	278-3_stm.sorted.bam	278-4_stm.sorted.bam	278-5_stm.sorted.bam	279-1_stm.sorted.bam	279-2_stm.sorted.bam	279-3_stm.sorted.bam	279-4_stm.sorted.bam	279-5_stm.sorted.bam
STM0001	Chromosome	190	255	+	66	thrL	21	53	13	46	16	75	201	40	144	11
STM0002	Chromosome	337	2799	+	2463	thrA	27	158	175	96	50	317	353	106	154	97
STM0003	Chromosome	2801	3730	+	930	thrB	11	73	107	48	27	130	214	79	102	51
STM0004	Chromosome	3734	5020	+	1287	thrC	30	182	181	91	58	263	391	150	198	92
STM0005	Chromosome	5114	5887	-	774	yaaA	13	83	103	58	22	135	135	71	93	44
STM0006	Chromosome	5966	7396	-	1431	yaaJ	9	68	58	38	29	109	167	89	87	27
STM0007	Chromosome	7665	8618	+	954	talB	260	656	1228	621	469	1326	1656	1043	1836	328
STM0008	Chromosome	8729	9319	+	591	mog	37	54	72	49	31	169	177	83	95	42
STM0009	Chromosome	9376	9942	-	567	yaaH	6	22	45	27	11	32	59	32	42	13
STM0010	Chromosome	10092	10805	-	714	htgA	10	16	11	10	9	31	54	20	19	13
STM0011	Chromosome	10841	11245	-	405	yaaI	2	2	8	2	2	11	10	14	7	2
STM0012	Chromosome	11593	13509	+	1917	dnaK	467	1518	3509	1758	934	8486	6398	3133	3838	1311
STM0013	Chromosome	13595	14734	+	1140	dnaJ	69	224	446	245	143	927	1014	489	544	197
STM0014	Chromosome	15014	15961	+	948	NA	0	1	6	0	2	14	5	9	10	2
STM0015	Chromosome	16088	16432	+	345	NA	0	1	2	0	0	3	4	4	4	0
