# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/bth/bth_genome.gtf" "-o" "feature_counts/bth_1110.txt" "sam/sam_11_09/275-1_bth.sorted.bam" "sam/sam_11_09/275-2_bth.sorted.bam" "sam/sam_11_09/275-3_bth.sorted.bam" "sam/sam_11_09/275-4_bth.sorted.bam" "sam/sam_11_09/275-5_bth.sorted.bam" "sam/sam_11_09/278-1_bth.sorted.bam" "sam/sam_11_09/278-2_bth.sorted.bam" "sam/sam_11_09/278-3_bth.sorted.bam" "sam/sam_11_09/278-4_bth.sorted.bam" "sam/sam_11_09/278-5_bth.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	275-1_bth.sorted.bam	275-2_bth.sorted.bam	275-3_bth.sorted.bam	275-4_bth.sorted.bam	275-5_bth.sorted.bam	278-1_bth.sorted.bam	278-2_bth.sorted.bam	278-3_bth.sorted.bam	278-4_bth.sorted.bam	278-5_bth.sorted.bam
gene-FE838_RS00195	NZ_CP040530.1	201	1613	+	1413	dnaA	927	202	166	384	358	112	210	79	401	280
gene-FE838_RS00200	NZ_CP040530.1	1699	2436	-	738	NA	377	113	128	169	150	41	68	23	80	48
gene-FE838_RS00205	NZ_CP040530.1	2721	5258	+	2538	NA	2876	671	557	1232	852	200	494	177	782	283
gene-FE838_RS00210	NZ_CP040530.1	5390	8071	+	2682	NA	229	194	161	162	249	30	117	31	186	152
gene-FE838_RS00215	NZ_CP040530.1	8284	9297	+	1014	NA	14	2	3	4	8	4	6	1	8	2
gene-FE838_RS00220	NZ_CP040530.1	9392	10363	+	972	NA	127	24	25	45	52	20	16	6	49	46
gene-FE838_RS00225	NZ_CP040530.1	10507	10875	+	369	folB	116	16	11	26	27	10	16	3	21	22
gene-FE838_RS00230	NZ_CP040530.1	11205	11729	-	525	NA	646	138	148	235	238	101	115	21	98	166
gene-FE838_RS00235	NZ_CP040530.1	11734	12762	-	1029	NA	426	57	25	78	57	11	22	12	65	50
gene-FE838_RS00240	NZ_CP040530.1	12765	13658	-	894	NA	480	56	27	59	47	18	36	14	73	62
gene-FE838_RS00245	NZ_CP040530.1	13648	14979	-	1332	mtaB	583	96	37	121	79	34	69	25	91	109
gene-FE838_RS00250	NZ_CP040530.1	15089	16762	+	1674	NA	952	171	96	241	227	79	95	9	97	181
gene-FE838_RS00255	NZ_CP040530.1	16922	17143	+	222	NA	10138	298	420	1729	1057	787	1349	168	1317	1059
gene-FE838_RS00260	NZ_CP040530.1	17212	18126	-	915	NA	1304	1822	1289	1266	2156	50	48	24	231	238
gene-FE838_RS00265	NZ_CP040530.1	18266	19138	-	873	NA	6576	10643	9838	8585	14112	301	255	110	1020	1483
gene-FE838_RS00270	NZ_CP040530.1	19191	20666	-	1476	NA	3839	14623	9054	8085	13745	225	222	89	893	1036
gene-FE838_RS00275	NZ_CP040530.1	20674	21792	-	1119	NA	822	1631	1266	1114	1489	71	58	28	231	174
gene-FE838_RS00280	NZ_CP040530.1	22045	23691	-	1647	NA	813	132	79	215	222	99	159	72	222	190
gene-FE838_RS00285	NZ_CP040530.1	23772	24215	-	444	rplI	4726	345	246	664	398	216	309	278	808	408
gene-FE838_RS00290	NZ_CP040530.1	24230	24502	-	273	rpsR	2004	197	133	297	173	132	142	152	364	189
gene-FE838_RS00295	NZ_CP040530.1	24505	24849	-	345	rpsF	2705	205	146	452	276	266	261	271	590	360
gene-FE838_RS00300	NZ_CP040530.1	25010	25456	+	447	NA	79	27	21	52	57	23	20	5	38	46
gene-FE838_RS00305	NZ_CP040530.1	25596	25772	+	177	NA	496	221	262	631	944	143	133	16	163	309
gene-FE838_RS00310	NZ_CP040530.1	25848	26549	-	702	NA	1880	1355	1991	2463	3004	580	947	176	1854	1629
gene-FE838_RS00315	NZ_CP040530.1	26551	28098	-	1548	NA	803	596	691	1063	1080	231	433	85	971	736
gene-FE838_RS00320	NZ_CP040530.1	28364	30520	-	2157	NA	1639	4087	2202	3873	5928	785	2105	189	2038	2513
gene-FE838_RS00325	NZ_CP040530.1	30778	31908	+	1131	hemW	86	14	8	31	21	19	20	6	48	22
gene-FE838_RS00330	NZ_CP040530.1	31928	32476	+	549	NA	53	14	6	13	11	6	6	3	17	12
gene-FE838_RS00335	NZ_CP040530.1	32608	33045	+	438	NA	51	51	209	73	428	151	112	3	475	1108
gene-FE838_RS00340	NZ_CP040530.1	33070	33942	+	873	NA	228	154	506	201	1205	270	373	18	1407	2930
gene-FE838_RS00345	NZ_CP040530.1	33948	36641	+	2694	NA	370	85	392	237	1764	195	188	14	1344	1657
gene-FE838_RS00350	NZ_CP040530.1	36648	37661	+	1014	NA	61	25	61	33	148	22	47	2	249	293
gene-FE838_RS00355	NZ_CP040530.1	37690	38367	-	678	NA	151	44	33	66	127	20	35	4	48	63
gene-FE838_RS00360	NZ_CP040530.1	38846	39133	+	288	NA	10	3	0	3	3	3	3	2	4	6
gene-FE838_RS00365	NZ_CP040530.1	39130	39738	+	609	NA	16	2	2	5	4	2	7	3	8	3
gene-FE838_RS00370	NZ_CP040530.1	40031	40387	+	357	NA	7025	56	108	899	201	2	9	17	102	60
gene-FE838_RS00375	NZ_CP040530.1	40517	41581	-	1065	NA	389	124	68	105	136	36	85	15	99	99
gene-FE838_RS00380	NZ_CP040530.1	41708	42403	+	696	NA	130	33	19	43	29	16	14	7	37	24
gene-FE838_RS00385	NZ_CP040530.1	42444	43217	-	774	NA	118	37	19	49	65	5	32	3	24	39
gene-FE838_RS00390	NZ_CP040530.1	43305	43970	+	666	NA	51	22	11	24	34	4	8	1	16	16
gene-FE838_RS00395	NZ_CP040530.1	44375	45430	-	1056	NA	260	98	54	76	122	20	44	12	46	44
gene-FE838_RS00400	NZ_CP040530.1	45625	46119	+	495	NA	2	0	0	1	1	0	0	0	0	2
gene-FE838_RS00405	NZ_CP040530.1	46106	46696	+	591	NA	2	3	1	3	3	0	1	0	0	2
gene-FE838_RS00410	NZ_CP040530.1	46740	47969	+	1230	aroA	287	95	45	139	126	32	62	15	105	86
